SaleID,price
200000,6500
200001,500
200003,500
200006,1500
200007,1500
200008,6500
200009,1500
200013,1500
200016,500
200017,1500
200020,1500
200024,500
200025,2500
200026,1500
200027,6500
200028,6500
200029,2500
200030,6500
200031,6500
200033,6500
200035,1500
200036,1500
200037,500
200038,6500
200041,6500
200042,500
200043,500
200046,6500
200047,6500
200051,1500
200052,1500
200055,6500
200056,6500
200057,1500
200058,1500
200060,2500
200063,6500
200064,500
200065,500
200067,1500
200072,1500
200075,1500
200076,500
200078,500
200083,500
200084,1500
200088,500
200092,500
200093,6500
200094,6500
200096,500
200097,500
200099,500
200100,6500
200103,500
200105,6500
200106,6500
200108,500
200110,500
200111,6500
200112,1500
200114,500
200115,500
200116,1500
200117,1500
200119,500
200121,500
200123,27400
200125,6500
200127,1500
200129,1500
200132,6500
200133,500
200136,1500
200138,6500
200142,1500
200144,500
200145,6500
200147,1500
200151,6500
200152,1500
200154,2500
200155,500
200156,1500
200157,500
200158,2500
200160,500
200161,500
200162,500
200165,500
200166,1500
200167,1500
200169,1500
200170,500
200172,500
200176,1500
200178,2500
200179,1500
200181,1500
200182,500
200183,1500
200185,500
200187,500
200188,6500
200189,1500
200190,6500
200191,500
200192,500
200193,1500
200194,500
200195,1500
200201,6500
200204,1500
200205,500
200207,500
200208,500
200211,500
200212,2500
200213,1500
200214,6500
200215,1500
200216,6500
200217,500
200221,6500
200223,6500
200224,500
200226,6500
200232,500
200233,500
200235,500
200236,500
200238,1500
200239,1500
200240,1500
200241,1500
200244,500
200246,500
200247,6500
200249,6500
200250,1500
200251,500
200252,500
200253,500
200254,1500
200255,1500
200256,1500
200258,1500
200259,2500
200261,500
200262,6500
200263,500
200265,500
200266,500
200267,1500
200268,500
200271,500
200272,500
200275,1500
200276,1500
200277,6500
200280,1500
200281,500
200283,1500
200285,1500
200287,500
200288,1500
200289,500
200290,6500
200292,1500
200293,500
200294,500
200295,1500
200296,500
200297,1500
200298,1500
200299,500
200300,1500
200301,6500
200302,1500
200303,500
200306,27400
200310,500
200311,1500
200312,6500
200314,6500
200321,6500
200324,6500
200325,6500
200326,1500
200329,1500
200331,1500
200332,500
200333,1500
200334,1500
200335,1500
200336,500
200339,1500
200342,1500
200344,500
200345,1500
200347,500
200348,1500
200349,500
200351,1500
200352,500
200353,1500
200354,1500
200355,1500
200356,1500
200357,500
200358,1500
200359,1500
200362,500
200363,500
200364,6500
